Date,CAT,DE,HON,GE,LMT,NOC,RTX,BA,MMM,ITW,EMR,ETN,PH,GD,UPS,FDX,CMI,DAL,LUV,UNP,NSC,CSX,ROP,ROK,OTIS
2016-04-22,62.67290115356445,70.8778076171875,83.81420135498047,131.4574432373047,174.97024536132812,171.58709716796875,52.867069244384766,118.61763763427734,102.13733673095705,83.77307891845703,43.16875076293945,50.75733184814453,97.75775909423828,111.8604507446289,73.78121185302734,143.44674682617188,89.49739074707031,39.57527542114258,42.26837539672851,72.1412353515625,74.59800720214844,7.966860771179199,168.93190002441406,95.56427764892578,
2016-04-25,61.4486083984375,70.5439682006836,83.1388168334961,131.11553955078125,174.56143188476562,171.5700225830078,52.61698532104492,118.3460922241211,101.9677734375,83.62897491455078,43.04423904418945,50.169097900390625,97.24331665039062,110.96003723144533,73.46656036376953,142.79127502441406,88.57244110107422,38.96329498291016,41.91053771972656,70.515380859375,74.63067626953125,7.854000091552734,169.90599060058594,95.2820281982422,
2016-04-26,62.13677215576172,71.40853118896484,84.27667999267578,132.05575561523438,179.0816650390625,173.99742126464844,52.41691207885742,120.5998764038086,100.6354751586914,84.3813705444336,43.66682434082031,50.96684265136719,98.05789184570312,112.51750183105467,74.27766418457031,144.128173828125,89.55138397216797,38.6617317199707,41.311187744140625,71.44098663330078,76.0029067993164,8.001585960388184,169.13050842285156,96.23677825927734,
2016-04-27,62.960994720458984,72.51277923583984,84.74652099609375,132.18392944335938,180.2310791015625,176.9291534423828,52.962100982666016,124.07559204101562,101.59228515625,84.43740844726562,43.806915283203125,51.4342041015625,100.25296020507812,116.49225616455078,74.4384765625,144.51620483398438,89.96759033203125,38.75042343139648,40.76549530029297,71.77096557617188,76.14993286132812,8.053679466247559,169.49935913085938,96.0457992553711,
2016-04-28,62.216796875,71.8450927734375,84.14456176757812,132.05575561523438,179.51365661621094,175.74111938476562,52.13182830810547,122.01187896728516,101.132080078125,83.70101165771484,42.81855392456055,50.91849899291992,98.98392486572266,114.50489044189452,73.35468292236328,142.87754821777344,89.88280487060547,38.01426315307617,39.414703369140625,71.23977661132812,75.12894439697266,7.920557022094727,167.20123291015625,94.8420181274414,
2016-04-29,62.19278717041016,71.99919891357422,83.88761901855469,131.41465759277344,179.25137329101562,176.2967071533203,52.20184326171875,122.01187896728516,101.36217498779295,83.66098022460938,42.51504898071289,50.98295593261719,99.4812469482422,113.98573303222656,73.46656036376953,142.4031524658203,90.20653533935548,36.95881271362305,39.90670394897461,70.20953369140625,73.60153198242188,7.891619205474853,166.52981567382812,94.20276641845705,
2016-05-02,62.28881072998047,72.15325927734375,84.1812515258789,132.0130157470703,179.91476440429688,178.048828125,52.20184326171875,121.29679870605467,101.94353485107422,84.02119445800781,42.966426849365234,51.13606262207031,99.03536224365234,115.04833984375,73.24980163574219,144.54209899902344,89.82112884521484,37.40227127075195,39.369964599609375,70.9258804321289,74.0997543334961,7.923453330993652,167.86328125,94.0118179321289,
2016-05-03,61.104469299316406,71.39141082763672,84.06379699707031,130.90188598632812,181.04100036621097,179.1514892578125,51.08148193359375,119.92102813720705,101.71951293945312,83.62097930908203,42.546165466308594,50.99907302856445,97.4748077392578,115.46204376220705,72.98409271240234,142.12718200683594,91.41667938232422,38.067481994628906,38.59169006347656,69.83924865722656,72.80924224853516,7.680365085601807,166.63381958007812,93.28125762939452,
2016-05-04,59.408050537109375,70.34707641601562,82.90388488769531,128.50865173339844,182.05145263671875,179.9634552001953,50.35125350952149,118.4728012084961,101.22895050048828,82.86856842041016,41.07529830932617,49.57610702514648,95.2625961303711,114.7238540649414,72.0960922241211,142.52391052246094,88.21015167236328,36.74595260620117,37.267730712890625,68.9297866821289,73.07233428955078,7.573291301727295,164.18446350097656,92.1937026977539,
2016-05-05,58.24771499633789,69.50818634033203,83.4104232788086,127.7393798828125,183.69448852539065,181.1430206298828,50.16117858886719,119.54991912841795,101.5983428955078,82.57241821289062,41.23095703125,49.58423614501953,95.99143981933594,115.34847259521484,71.41787719726562,138.31503295898438,87.78621673583984,37.029762268066406,37.15144348144531,68.56755065917969,73.13813018798828,7.535670757293701,164.90321350097656,92.71671295166016,
